00:06,1180,700,linear
00:13,1280,720,linear
00:17,1180,700,linear
00:28,1280,720,linear
01:18,1180,700,linear
01:27,1280,720,linear
04:18,1280,718,linear
04-21,1280,680,linear
04-25,1280,720,linear
04-30,1280,728,linear
05-02,1280,718,linear
05-18,1280,723,linear
05-21,1280,690,linear
05-30,1280,700,linear
06-08,1280,730,linear
06-16,1280,735,linear
06-28,1280,728,linear
07-06,1280,720,linear
07-18,1280,700,linear
07-29,1280,720,linear
08:00,1280,720,linear
08:05,640,360,linear
08:16,1280,720,linear
09:12,1280,720,linear
09:19,640,360,linear
10:05,1280,720,linear
17:18,1280,720,linear
17:24,1380,520,linear
17:29,1380,520,linear
18:00,640,480,linear
18:06,640,480,linear
18:12,640,580,linear
18:24,1280,720,linear
18:25,1280,720,linear
26:12,1280,720,linear
26:16,1260,620,linear
26:19,1280,720,linear
26:22,1260,620,linear
26:25,1280,720,linear
26:28,1260,620,linear
27:02,1280,720,linear
27:04,1260,620,linear
27:08,1280,720,linear
27:11,1260,620,linear
27:12,1280,720,linear
29:29,1280,720,linear
30:00,640,360,linear
30:23,1060,500,linear
30:24,858,480,linear
32:06,858,480,linear
32:07,1280,720,linear
85-00,1280,720,linear
88-06,640,360,linear
88-07,1280,720,linear